model_name,family,accuracy,sensitive_feature,demographic_parity_difference,equalized_odds_difference,total_unfairness
DecisionTree_2,DecisionTree,0.8185,sex,0.006280903195544793,0.0071025422121039905,0.013383445407648784
DecisionTree_2,DecisionTree,0.8185,age,0.08771215016297627,0.08648232691325869,0.17419447707623498
DecisionTree_2,DecisionTree,0.8185,education,0.15866388308977036,0.411522633744856,0.5701865168346263
DecisionTree_3,DecisionTree,0.818,sex,0.007390399904523601,0.005774520963764018,0.013164920868287619
DecisionTree_3,DecisionTree,0.818,age,0.0881476902326627,0.08648232691325869,0.17463001714592138
DecisionTree_3,DecisionTree,0.818,education,0.15970772442588727,0.411522633744856,0.5712303581707432
DecisionTree_7,DecisionTree,0.8211666666666667,sex,0.0050583058214230675,0.014290457218744057,0.019348763040167125
DecisionTree_7,DecisionTree,0.8211666666666667,age,0.04280937394627403,0.06533036377134377,0.1081397377176178
DecisionTree_7,DecisionTree,0.8211666666666667,education,0.1534446764091858,0.40329218106995884,0.5567368574791447
DecisionTree_8,DecisionTree,0.8188333333333333,sex,0.010588442638534437,0.003377452051545181,0.013965894690079618
DecisionTree_8,DecisionTree,0.8188333333333333,age,0.13914802742497473,0.1344407530454042,0.27358878047037893
DecisionTree_8,DecisionTree,0.8188333333333333,education,0.16075156576200417,0.41975308641975306,0.5805046521817572
DecisionTree_9,DecisionTree,0.8211666666666667,sex,0.0050583058214230675,0.014290457218744057,0.019348763040167125
DecisionTree_9,DecisionTree,0.8211666666666667,age,0.04280937394627403,0.06533036377134377,0.1081397377176178
DecisionTree_9,DecisionTree,0.8211666666666667,education,0.1534446764091858,0.40329218106995884,0.5567368574791447
DecisionTree_10,DecisionTree,0.8211666666666667,sex,0.0050583058214230675,0.014290457218744057,0.019348763040167125
DecisionTree_10,DecisionTree,0.8211666666666667,age,0.04280937394627403,0.06533036377134377,0.1081397377176178
DecisionTree_10,DecisionTree,0.8211666666666667,education,0.1534446764091858,0.40329218106995884,0.5567368574791447
RandomForest_1,RandomForest,0.819,sex,0.008668506807549853,0.01612122936824134,0.024789736175791194
RandomForest_1,RandomForest,0.819,age,0.07898729908958077,0.1453183520599251,0.22430565114950587
RandomForest_1,RandomForest,0.819,education,0.1617954070981211,0.40329218106995884,0.5650875881680799
RandomForest_2,RandomForest,0.8176666666666667,sex,0.004581617741955632,0.01561136406753938,0.02019298180949501
RandomForest_2,RandomForest,0.8176666666666667,age,0.062408677082162536,0.125374963713189,0.18778364079535154
RandomForest_2,RandomForest,0.8176666666666667,education,0.12526096033402923,0.34055727554179566,0.4658182358758249
RandomForest_3,RandomForest,0.8215,sex,0.00426868277275648,0.021155852779358775,0.025424535552115254
RandomForest_3,RandomForest,0.8215,age,0.05326233561874791,0.09019308388785863,0.14345541950660654
RandomForest_3,RandomForest,0.8215,education,0.13987473903966596,0.3786008230452675,0.5184755620849335
RandomForest_4,RandomForest,0.814,sex,0.006559144709178635,0.022761335609941202,0.029320480319119838
RandomForest_4,RandomForest,0.814,age,0.11822805440035966,0.19850187265917602,0.3167299270595357
RandomForest_4,RandomForest,0.814,education,0.1722338204592902,0.4074074074074074,0.5796412278666976
RandomForest_5,RandomForest,0.8188333333333333,sex,0.011447452598331659,0.012137165623221424,0.023584618221553083
RandomForest_5,RandomForest,0.8188333333333333,age,0.07942283915926718,0.14981273408239704,0.22923557324166421
RandomForest_5,RandomForest,0.8188333333333333,education,0.15970772442588727,0.3950617283950617,0.554769452820949
RandomForest_6,RandomForest,0.8205,sex,0.015328956406979205,0.00837601973060137,0.023704976137580575
RandomForest_6,RandomForest,0.8205,age,0.05347043377266071,0.10583615141267588,0.15930658518533658
RandomForest_6,RandomForest,0.8205,education,0.1544885177453027,0.40329218106995884,0.5577806988152616
RandomForest_7,RandomForest,0.819,sex,0.012701274082462174,0.007004690259445827,0.019705964341908
RandomForest_7,RandomForest,0.819,age,0.04322577387264556,0.08539325842696632,0.12861903229961189
RandomForest_7,RandomForest,0.819,education,0.15553235908141963,0.40329218106995884,0.5588245401513785
RandomForest_8,RandomForest,0.8186666666666667,sex,0.012433440605497947,0.005584803642572578,0.018018244248070525
RandomForest_8,RandomForest,0.8186666666666667,age,0.08247161964707206,0.09540743972946436,0.17787905937653642
RandomForest_8,RandomForest,0.8186666666666667,education,0.15031315240083507,0.3786008230452675,0.5289139754461025
RandomForest_9,RandomForest,0.8183333333333334,sex,0.01295523017720028,0.010147610271054208,0.02310284044825449
RandomForest_9,RandomForest,0.8183333333333334,age,0.09076093065078115,0.14307116104868917,0.23383209169947033
